Site_ID,Site_Name,Conc_Name,Month,Season,Year,CH4_uM,CO2_uM,N2O_uM,Tw,Cond_uScm,pH,DO_mgL,Chla_ugL,Salinity_PSU,TSS_mgL,NO3_uM,NH4_uM,TN_uM,SRP_uM,TP_uM,DOC_uM,POC_uM,DIC_uM,SUVA254,Ageof14CO2_yrBP,Ageof14CH4_yrBP,Diff_CH4_mmolm2d,Eb_CH4_mmolm2d,Storf_CH4,IBSf_CH4,Total_CH4_mmolm2d,Diff_CO2_mmolm2d,Eb_CO2_mmolm2d,CO2_mmolm2d,N2O_mmolm2d,Lake_name,Hylak_id,WaterType,Region,Country,Cryozone,Ecozone,Latitude,Longitude,Elevation_m,Surface_area_km2,Depth_max_m,Depth_mean_m,Trophic_status,Icefree_days_peryr,MAT,MAP
15009,KWK11,KWK11,August,Summer,2015,0.13,42,NA,14.9,NA,NA,NA,24,NA,8.3,NA,NA,NA,0.04838709677419355,3.870967741935484,2250,NA,NA,NA,NA,NA,0.47,0.016,NA,NA,0.486,20.2,0.006,20.206,NA,KWK11,NA,TKP,Quebec,Canada,S,NA,55.33025,-77.50336667,110,4.1e-4,1.6,NA,NA,150,-3.708333373069761,641
15012,BGR2,BGR2,August,Summer,2012,0.5,20,NA,16,NA,NA,NA,0.9,NA,5.9,NA,NA,NA,0.1064516129032258,1.2903225806451613,833.3333333333334,NA,NA,NA,NA,NA,0.45,0.26,NA,NA,0.71,8.1,0.01,8.11,NA,BGR2,NA,TKP,Quebec,Canada,D,NA,56.61053333,-76.21561667,240,6.6e-4,1.5,NA,NA,136,-4.058333377043405,584
15015,NASh,NASh,August,Summer,2012,0.19,30,NA,15.1,NA,NA,NA,3.6,NA,18,NA,NA,42.857142857142854,0.2,0.967741935483871,341.66666666666663,NA,NA,NA,NA,NA,0.12,0,NA,NA,0.12,3.4,0,3.4,NA,NASh,NA,TKP,Quebec,Canada,D,NA,56.92406667,-76.37733333,122,0.00187,3.6,NA,NA,138,-3.9249999324480687,569
15016,Subarctic melt ponds,NA,July,Summer,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,0,NA,NA,43.2,492.48,NA,492.48,NA,Subarctic melt ponds,NA,TKP,NWT,Canada,C,Tundra,68.31546389,-133.4315306,110,NA,0.9,NA,NA,153,-8.7416665876905,236
15017,Arctic melt ponds,NA,July,Summer,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.92,0,NA,NA,25.92,336.96,NA,336.96,NA,Arctic melt ponds,NA,TKP,NWT,Canada,C,Tundra,69.36613333,-133.0350806,13,NA,0.9,NA,NA,153,-10.016666611035662,161
15018,Big Sky_ A31,Big Sky_ A31,April,Winter,2011,NA,NA,NA,0.7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,8.707767328456983e-5,NA,NA,Big Sky_ A31,256194,TKL,Alaska,USA,C,Tundra,69.581,-148.639,145,0.349,2.2,5.5,Oligotrophic,104,-10.43333341677983,181
15018,Big Sky_ A31,Big Sky_ A31,July,Summer,2011-2012,NA,NA,NA,15.7,NA,8.8,NA,2.6,NA,NA,NA,NA,92.85714285714286,0.13548387096774195,NA,1236,NA,NA,NA,NA,NA,1.201923076923077,0.2,0.023946360153256706,0.646551724137931,3.0048076923076925,27.097902097902097,0.0010926573426573427,27.185314685314687,NA,Big Sky_ A31,256194,TKL,Alaska,USA,C,Tundra,69.581,-148.639,145,0.349,2.2,5.5,Oligotrophic,104,-10.43333341677983,181
15019,Dragon's Pond_ A33,Dragon's Pond_ A33,July,Summer,2009-2012,NA,NA,NA,18.4,NA,7.7,NA,4.7,NA,NA,NA,NA,228.57142857142858,0.19032258064516128,NA,1273.5,NA,NA,NA,NA,NA,1.9230769230769231,3,0.14367816091954022,NA,4.447115384615384,8.085664335664337,0.012237762237762238,8.107517482517482,NA,Dragon's Pond_ A33,NA,TKL,Alaska,USA,C,Tundra,68.795,-148.843,463,0.01,1.5,NA,Oligotrophic,104,-9.41666668156782,217
15019,Dragon's Pond_ A33,Dragon's Pond_ A33,October-May,Winter,2011-2012,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14367816091954022,NA,NA,NA,NA,8.707767328456983e-4,NA,NA,Dragon's Pond_ A33,NA,TKL,Alaska,USA,C,Tundra,68.795,-148.843,463,0.01,1.5,NA,Oligotrophic,104,-9.41666668156782,217
15020,GTH 112,GTH 112,July,Summer,2011-2012,NA,NA,NA,11.7,NA,7.2,NA,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.201923076923077,NA,NA,0,1.201923076923077,9.178321678321678,NA,9.134615384615383,NA,GTH 112,NA,TKL,Alaska,USA,C,Tundra,68.672,-149.249,842,0.025,4.8,NA,Mixotrophic,104,-10.191666608055426,237
